"Screening_Type","Threshold","Sensitivity","Specificity","Precision","N_True_Positives","N_True_Negatives","N_False_Positives","N_False_Negatives","FPR","OneMinusSens","C"
"Manual Title/Abstract",NA,0.862068965517241,0.998557593241294,0.975177304964539,275,4846,7,44,0.00144240675870599,0.137931034482759,0.137938576224135
"Manual FullText",NA,0.990595611285266,0.999587883783227,0.993710691823899,316,4851,2,3,0.000412116216772951,0.00940438871473404,0.00941341419857557
"Regex Title/Abstract",1,0.890282131661442,0.995054605398722,0.922077922077922,284,4829,24,35,0.00494539460127796,0.109717868338558,0.109829265501138
"Regex FullText",2,0.971786833855799,0.98021842159489,0.763546798029557,310,4757,96,9,0.01978157840511,0.028213166144201,0.0344571268111229
