"Screening_Type","Threshold","Sensitivity","Specificity","Precision","N_True_Positives","N_True_Negatives","N_False_Positives","N_False_Negatives"
"Manual_TiAb",NA,0.862068965517241,0.998557593241294,0.975177304964539,275,4846,7,44
"Manual_FullText",NA,0.990595611285266,0.999587883783227,0.993710691823899,316,4851,2,3
"Regex_TiAb",0,1,0,0.0616782675947409,319,0,4853,0
"Regex_TiAb",1,0.890282131661442,0.995054605398722,0.922077922077922,284,4829,24,35
"Regex_TiAb",2,0.774294670846395,0.996703070265815,0.939163498098859,247,4837,16,72
"Regex_TiAb",3,0.677115987460815,0.997527302699361,0.947368421052632,216,4841,12,103
"Regex_TiAb",4,0.542319749216301,0.998145477024521,0.950549450549451,173,4844,9,146
"Regex_TiAb",5,0.445141065830721,0.999587883783227,0.986111111111111,142,4851,2,177
"Regex_TiAb",6,0.347962382445141,0.999793941891613,0.991071428571429,111,4852,1,208
"Regex_TiAb",7,0.241379310344828,0.999793941891613,0.987179487179487,77,4852,1,242
"Regex_TiAb",8,0.150470219435737,0.999793941891613,0.979591836734694,48,4852,1,271
"Regex_TiAb",9,0.0940438871473354,1,1,30,4853,0,289
"Regex_TiAb",10,0.0658307210031348,1,1,21,4853,0,298
"Regex_TiAb",11,0.0407523510971787,1,1,13,4853,0,306
"Regex_TiAb",12,0.0219435736677116,1,1,7,4853,0,312
"Regex_TiAb",13,0.00940438871473354,1,1,3,4853,0,316
"Regex_TiAb",14,0.00626959247648903,1,1,2,4853,0,317
"Regex_TiAb",15,0.00313479623824451,1,1,1,4853,0,318
"Regex_FullText",0,1,0,0.0616782675947409,319,0,4853,0
"Regex_FullText",1,0.981191222570533,0.948897589120132,0.557932263814617,313,4605,248,6
"Regex_FullText",2,0.971786833855799,0.98021842159489,0.763546798029557,310,4757,96,9
"Regex_FullText",3,0.96551724137931,0.987224397280033,0.832432432432432,308,4791,62,11
"Regex_FullText",4,0.962382445141066,0.989697094580672,0.859943977591036,307,4803,50,12
"Regex_FullText",5,0.946708463949843,0.991963733772924,0.885630498533724,302,4814,39,17
"Regex_FullText",6,0.940438871473354,0.99340614053163,0.903614457831325,300,4821,32,19
"Regex_FullText",7,0.931034482758621,0.993818256748403,0.908256880733945,297,4823,30,22
