"Screening_Type","Threshold","Sensitivity","Specificity","Precision","N_True_Positives","N_True_Negatives","N_False_Positives","N_False_Negatives"
"Regex_FullText",61,0.410658307210031,0.998557593241294,0.949275362318841,131,4846,7,188
"Regex_FullText",62,0.391849529780564,0.998557593241294,0.946969696969697,125,4846,7,194
"Regex_FullText",63,0.379310344827586,0.998557593241294,0.9453125,121,4846,7,198
"Regex_FullText",64,0.373040752351097,0.998557593241294,0.944444444444444,119,4846,7,200
"Regex_FullText",65,0.35423197492163,0.998557593241294,0.941666666666667,113,4846,7,206
"Regex_FullText",66,0.338557993730408,0.998557593241294,0.939130434782609,108,4846,7,211
"Regex_FullText",67,0.332288401253919,0.998763651349681,0.946428571428571,106,4847,6,213
"Regex_FullText",68,0.322884012539185,0.998763651349681,0.944954128440367,103,4847,6,216
"Regex_FullText",69,0.316614420062696,0.998763651349681,0.94392523364486,101,4847,6,218
"Regex_FullText",70,0.294670846394984,0.998763651349681,0.94,94,4847,6,225
"Regex_FullText",71,0.285266457680251,0.998969709458067,0.947916666666667,91,4848,5,228
"Regex_FullText",72,0.275862068965517,0.998969709458067,0.946236559139785,88,4848,5,231
"Regex_FullText",73,0.269592476489028,0.998969709458067,0.945054945054945,86,4848,5,233
"Regex_FullText",74,0.263322884012539,0.998969709458067,0.943820224719101,84,4848,5,235
"Regex_FullText",75,0.250783699059561,0.998969709458067,0.941176470588235,80,4848,5,239
"Regex_FullText",76,0.238244514106583,0.999175767566454,0.95,76,4849,4,243
"Regex_FullText",77,0.22884012539185,0.999175767566454,0.948051948051948,73,4849,4,246
"Regex_FullText",78,0.22257053291536,0.999175767566454,0.946666666666667,71,4849,4,248
"Regex_FullText",80,0.216300940438871,0.999175767566454,0.945205479452055,69,4849,4,250
"Regex_FullText",82,0.210031347962382,0.999175767566454,0.943661971830986,67,4849,4,252
"Regex_FullText",83,0.197492163009404,0.999175767566454,0.940298507462687,63,4849,4,256
"Regex_FullText",85,0.188087774294671,0.999175767566454,0.9375,60,4849,4,259
"Regex_FullText",86,0.188087774294671,0.99938182567484,0.952380952380952,60,4850,3,259
"Regex_FullText",87,0.172413793103448,0.99938182567484,0.948275862068966,55,4850,3,264
"Regex_FullText",89,0.166144200626959,0.99938182567484,0.946428571428571,53,4850,3,266
"Regex_FullText",90,0.163009404388715,0.99938182567484,0.945454545454545,52,4850,3,267
"Regex_FullText",91,0.156739811912226,0.99938182567484,0.943396226415094,50,4850,3,269
"Regex_FullText",92,0.150470219435737,0.99938182567484,0.941176470588235,48,4850,3,271
"Regex_FullText",93,0.147335423197492,0.99938182567484,0.94,47,4850,3,272
"Regex_FullText",95,0.144200626959248,0.99938182567484,0.938775510204082,46,4850,3,273
"Regex_FullText",96,0.137931034482759,0.99938182567484,0.936170212765957,44,4850,3,275
"Regex_FullText",97,0.134796238244514,0.99938182567484,0.934782608695652,43,4850,3,276
"Regex_FullText",98,0.13166144200627,0.99938182567484,0.933333333333333,42,4850,3,277
"Regex_FullText",99,0.119122257053292,0.99938182567484,0.926829268292683,38,4850,3,281
"Regex_FullText",100,0.109717868338558,0.999587883783227,0.945945945945946,35,4851,2,284
"Regex_FullText",101,0.0971786833855799,0.999587883783227,0.939393939393939,31,4851,2,288
"Regex_FullText",103,0.0940438871473354,0.999587883783227,0.9375,30,4851,2,289
"Regex_FullText",104,0.0909090909090909,0.999587883783227,0.935483870967742,29,4851,2,290
"Regex_FullText",105,0.0877742946708464,0.999587883783227,0.933333333333333,28,4851,2,291
"Regex_FullText",107,0.0846394984326019,0.999587883783227,0.931034482758621,27,4851,2,292
"Regex_FullText",109,0.0815047021943574,0.999587883783227,0.928571428571429,26,4851,2,293
"Regex_FullText",110,0.0783699059561129,0.999587883783227,0.925925925925926,25,4851,2,294
"Regex_FullText",112,0.0752351097178683,0.999587883783227,0.923076923076923,24,4851,2,295
"Regex_FullText",113,0.0721003134796238,0.999587883783227,0.92,23,4851,2,296
"Regex_FullText",114,0.0689655172413793,0.999587883783227,0.916666666666667,22,4851,2,297
"Regex_FullText",115,0.0658307210031348,0.999587883783227,0.91304347826087,21,4851,2,298
"Regex_FullText",116,0.0595611285266458,0.999587883783227,0.904761904761905,19,4851,2,300
"Regex_FullText",117,0.0532915360501567,0.999587883783227,0.894736842105263,17,4851,2,302
"Regex_FullText",119,0.0501567398119122,0.999793941891613,0.941176470588235,16,4852,1,303
"Regex_FullText",124,0.0470219435736677,0.999793941891613,0.9375,15,4852,1,304
"Regex_FullText",126,0.0438871473354232,0.999793941891613,0.933333333333333,14,4852,1,305
"Regex_FullText",127,0.0407523510971787,0.999793941891613,0.928571428571429,13,4852,1,306
"Regex_FullText",128,0.0376175548589342,0.999793941891613,0.923076923076923,12,4852,1,307
"Regex_FullText",136,0.0344827586206897,0.999793941891613,0.916666666666667,11,4852,1,308
"Regex_FullText",139,0.0313479623824451,0.999793941891613,0.909090909090909,10,4852,1,309
"Regex_FullText",146,0.0282131661442006,0.999793941891613,0.9,9,4852,1,310
"Regex_FullText",152,0.0250783699059561,0.999793941891613,0.888888888888889,8,4852,1,311
"Regex_FullText",161,0.0219435736677116,0.999793941891613,0.875,7,4852,1,312
"Regex_FullText",163,0.0188087774294671,0.999793941891613,0.857142857142857,6,4852,1,313
"Regex_FullText",165,0.0156739811912226,0.999793941891613,0.833333333333333,5,4852,1,314
"Regex_FullText",169,0.0156739811912226,1,1,5,4853,0,314
"Regex_FullText",182,0.0125391849529781,1,1,4,4853,0,315
"Regex_FullText",184,0.00940438871473354,1,1,3,4853,0,316
"Regex_FullText",209,0.00626959247648903,1,1,2,4853,0,317
"Regex_FullText",281,0.00313479623824451,1,1,1,4853,0,318
